"state_fips","county_fips","pop1996","pop1997","pop1998","pop1999","state","county","pop2000","pop2001","pop2002","pop2003","pop2004","pop2005","pop2006","pop2007","pop2008","pop2009","pop2010","pop2011","pop2012","pop2013","pop2014","pop2015","pop2016","pop2017","pop2018","pop2019"
21,177,31822,31957,32060,31968,"Kentucky","Muhlenberg",31796,31755,31598,31505,31523,31458,31429,31450,31279,31274,31657,31528,31382,31323,31302,31245,31150,30925,30811,30622
21,179,34209,35171,35929,36971,"Kentucky","Nelson",37677,38201,38813,39478,40175,40859,41766,42434,43101,43550,43629,44062,44401,44540,44858,45114,45497,45591,45813,46233
21,181,6966,7020,7007,7126,"Kentucky","Nicholas",6784,6845,6949,6973,7007,6968,6950,6919,6894,6874,7128,7088,7008,7008,7050,7059,7083,7160,7195,7269
21,183,21736,21956,22013,22128,"Kentucky","Ohio",22918,22991,23074,23014,23273,23382,23396,23497,23679,23534,23834,23985,24021,23975,23948,24021,24158,24116,24064,23994
21,185,42117,43256,44436,45821,"Kentucky","Oldham",46981,47851,48979,50823,52150,53357,55187,56605,57725,58095,60437,60772,62105,63062,63969,64556,65410,66557,66512,66799
21,187,9829,10078,10350,10418,"Kentucky","Owen",10574,10661,10868,10895,11107,11160,11194,11351,11390,11380,10850,10825,10762,10645,10657,10736,10668,10794,10881,10901
21,189,5446,5355,5398,5375,"Kentucky","Owsley",4863,4802,4742,4712,4776,4714,4644,4611,4652,4619,4748,4806,4681,4599,4502,4445,4472,4402,4474,4415
21,19,50049,49759,49514,48843,"Kentucky","Boyd",49662,49565,49440,49495,49193,48931,48747,48565,48573,48527,49602,49407,49224,48880,48798,48471,48121,47808,47292,46718
21,191,13721,13850,13735,13959,"Kentucky","Pendleton",14488,14613,14721,14848,14849,14929,15026,14988,14926,14887,14915,14662,14552,14565,14476,14487,14595,14602,14588,14590
21,193,31048,31134,30995,30805,"Kentucky","Perry",29287,29197,29319,29327,29245,29111,29139,29149,29140,29136,28669,28698,28295,27982,27554,27373,27197,26586,26208,25758
21,195,73056,72494,72020,71526,"Kentucky","Pike",68490,67611,67449,66831,66063,65704,65637,65521,65314,65446,65074,64908,64582,63853,62931,61781,60431,58905,58492,57876
21,197,12399,12692,12913,13264,"Kentucky","Powell",13280,13339,13272,13274,13457,13619,13537,13634,13587,13566,12643,12618,12471,12470,12349,12226,12266,12297,12371,12359
21,199,55060,55782,56313,57110,"Kentucky","Pulaski",56336,56655,57108,57576,58284,58834,59431,59946,60623,60853,63190,63510,63514,63793,63866,63862,64013,64314,64584,64979
21,201,2185,2188,2206,2265,"Kentucky","Robertson",2264,2244,2277,2286,2272,2219,2273,2205,2234,2237,2275,2290,2214,2214,2185,2134,2125,2120,2130,2108
21,203,15588,15705,15923,15974,"Kentucky","Rockcastle",16636,16522,16559,16538,16541,16550,16536,16571,16637,16504,17081,17108,17057,16742,16826,16932,16872,16778,16823,16695
21,205,21640,21925,22118,22168,"Kentucky","Rowan",22070,22285,22263,22225,22022,22148,22429,22599,22696,22872,23376,23558,23796,24210,24250,24642,24416,24514,24503,24460
21,207,16193,16326,16182,16182,"Kentucky","Russell",16328,16366,16409,16496,16740,16865,17045,17072,17278,17377,17573,17700,17637,17749,17787,17685,17769,17723,17790,17923
21,209,28437,29472,30782,32249,"Kentucky","Scott",33407,34492,35499,36534,37810,39318,41511,43035,44663,45841,47274,47913,48970,50000,51219,52155,53425,54782,55968,57004
21,21,26848,26943,27102,27358,"Kentucky","Boyle",27703,27627,27723,27807,28319,28513,28714,28909,29173,29263,28674,28800,29020,29632,29810,29782,29965,29972,30082,30060
21,211,28191,28823,29640,30552,"Kentucky","Shelby",33548,34066,34812,35829,36882,38017,39523,40615,41376,42078,42189,42848,43656,44460,45089,45787,46548,47209,48059,49024
21,213,16093,16117,16467,16587,"Kentucky","Simpson",16413,16582,16595,16634,16744,16897,16997,17055,17037,17019,17336,17302,17543,17681,17753,17901,17992,18046,18403,18572
21,215,8649,9163,9665,10441,"Kentucky","Spencer",11995,12698,13415,14145,14673,15313,16100,16909,17478,17737,17201,17466,17518,17678,17813,18072,18336,18619,19021,19351
